,ITEM NAME ,CATEGORY,UOM,QTY,TOTAL COST,UNIT PRICE,RETAIL,WHOLESALE,EXPIRY DATE,SUPPLIER
21684647,SIMPARICA TRIO (S) 2.5KG TO 5KG - PER PIECE (TOGALABZ),CLINIC/LAB/MEDS,PIECES,6,,464.53,700,,1 Sep 2026,TOGALABZ
37537357,SIMPARICA TRIO (M) 5KG TO 10KG - PER PIECE (TOGALABZ),CLINIC/LAB/MEDS,PIECES,6,,507.45,750,,1 Feb 2027,TOGALABZ
80084716,SIMPARICA TRIO (L) 10KG TO 20KG - PER PIECE (TOGALABZ),CLINIC/LAB/MEDS,PIECES,6,,520.76,820,,1 Feb 2027,TOGALABZ
82655969,SIMPLE CAT BATH CAGE ,SUPPLY AND ACCESSORIES,PIECES,1,458,458.00,900,,,SMILE-99
21952036,SKIN CYTOLOGY TEST,CLINIC/LAB/MEDS,SERVICING,,150,,350,,,PAWESOME 
89062128,SKIN SCRAPE TEST,CLINIC/LAB/MEDS,SERVICING,,100,,300,,,PAWESOME 
51091187,SMALL DOG COLLAR TRI-COLOR,SUPPLY AND ACCESSORIES,PIECES,7,140,20,50,,,
99607081,SMEAR TEST,CLINIC/LAB/MEDS,SERVICING,,150,,400,,,PAWESOME 
57716084,SODAGO - EYE STEM CELL,CLINIC/LAB/MEDS,PIECES,,1722,1049,1250,,13 Apr 2028,VV ONLINE STORE
96677599,SOFT BOTTLES SHOES,SUPPLY AND ACCESSORIES,PIECES,1,80,80,180,,,
94631913,SPAY CAT FEMALE ,SURGERY,SERVICING,,900,900.00,2500,,,PAWESOME
79896283,SPAY DOG  1 -5kg,SURGERY,SERVICING,,1500,"1,500.00",3500,,,PAWESOME
